origin,destination,waypoints,distance_km,duration_min,avg_speed_kph,elevation_gain_m,max_elevation_m,avg_slope
"Cádiz, Spain","Soria, Spain",,876.493,490.3333333333333,107.25271244051666,2329.4271631240845,1182.90576171875,46.58854326248169
"Barcelona, Spain","Madrid, Spain",,626.386,382.8666666666667,98.16252829531604,2582.745121955872,1164.331909179688,51.65490243911744
"Madrid, Spain","Galicia, Spain",,542.968,320.95,101.50515656644338,2314.918029785156,1343.493408203125,46.29836059570312
"Soria, Spain","Cádiz, Spain",,876.748,495.3333333333333,106.20096904441456,1336.985208511352,1160.195922851562,26.739704170227043
"Madrid, Spain","Barcelona, Spain",,626.674,378.95,99.22269428684524,1806.5393581390383,1165.033081054688,36.13078716278077
"Galicia, Spain","Madrid, Spain",,542.047,317.9833333333333,102.27837936998796,2324.6212768554697,1394.007202148438,46.49242553710939
"Barcelona, Spain","Madrid, Spain","Zaragoza, Spain",632.364,402.1333333333333,94.3513925729443,2478.135232925415,1185.798828125,49.5627046585083
"08840 Viladecans, Barcelona, Spain","Lugo, Spain",,979.356,563.4,104.29776357827475,2225.893211364746,1005.186279296875,44.51786422729492
"Lugo, Spain","08840 Viladecans, Barcelona, Spain",,979.413,561.3666666666667,104.6816341072383,1787.1589431762695,980.0541381835938,35.743178863525394
"Girona, Spain","Seville, Spain","Tarragona, Spain|Valencia, Spain|Madrid, Spain|Granada, Spain|Málaga, Spain",1563.639,990.0166666666668,94.76440463965253,2689.7940242290497,912.7742919921876,53.79588048458099
"Zaragoza, Spain","Bilbao, Biscay, Spain",,302.76,183.25,99.13015006821284,789.3093566894531,630.3713989257812,15.786187133789063
"Getafe, Madrid, Spain","Toledo, Spain","Municipality of Valdemoro, Madrid, Spain|45223 Seseña, Toledo, Spain",84.805,73.96666666666667,68.79179810725552,280.8504943847656,643.0631713867188,5.617009887695312
"Córdoba, Spain","14240 Belmez, Córdoba, Spain",,68.466,51.86666666666667,79.20231362467867,825.2245330810549,623.0526733398438,16.504490661621098
"01213 Rivabellosa, Araba, Spain","Bilbao, Biscay, Spain",,73.306,60.21666666666667,73.0422363686687,289.5671234130858,631.0008544921875,5.791342468261717
"39300 Torrelavega, Cantabria, Spain","09126 Basconcillos del Tozo, Burgos, Spain",,102.438,65.76666666666667,93.45585402939686,1613.5028610229492,994.3656616210938,32.27005722045899
"12540 Villarreal, Castellón, Spain","Gandia, Valencia, Spain",,145.376,95.58333333333331,91.25607672188318,283.47758936882025,104.1742095947266,5.669551787376405
"Sant Antoni, Eixample, Barcelona, Spain","Montjuïc, Sants-Montjuïc, 08038 Barcelona, Spain",,4.028,12.05,20.05643153526971,146.9751100540161,158.0282745361328,2.9395022010803222
"Bellvitge, 08907 L'Hospitalet de Llobregat, Barcelona, Spain","Gràcia, Barcelona, Spain",,10.277,20.75,29.7166265060241,132.8981652259827,101.3788223266602,2.657963304519654
"Tarragona, Spain","Castelldans, 25154, Lleida, Spain",,77.629,53.96666666666667,86.3077208153181,826.5819644927979,570.7349853515625,16.531639289855956
"Cádiz, Spain","Jerez de la Frontera, Cádiz, Spain",,35.163,29.9,70.56120401337793,148.41368770599365,71.87836456298828,2.968273754119873
"45500 Torrijos, Toledo, Spain","10600 Plasencia, Cáceres, Spain",,182.36,108.13333333333334,101.1861898890259,568.0472412109373,543.9946899414062,11.360944824218745
"Albacete, Spain","Cuenca, Spain",,160.382,109.18333333333334,88.13542970538849,675.5586547851562,948.0328979492188,13.511173095703125
"03170 Rojales, Alicante, Spain","Alicante, Spain",,57.382,44.95,76.5944382647386,195.51134443283087,172.9735870361328,3.9102268886566174
"03170 Rojales, Alicante, Spain","Alicante, Spain","Santa Pola, Alicante, Spain",43.536,53.333333333333336,48.978,183.09951734542847,77.1898422241211,3.661990346908569
"Cartagena, Murcia, Spain","30593 La Palma, Murcia, Spain","Los Camachos, Murcia, Spain",21.932,23.03333333333333,57.13111432706223,77.95821189880371,63.97220993041992,1.5591642379760742
"30868 Campillo de Adentro, Murcia, Spain","Mazarrón, Murcia, Spain",,17.201,24.383333333333333,42.32645249487355,162.84755110740662,100.4145050048828,3.256951022148132
"29688 Cancelada, Málaga, Spain","29680 Estepona, Málaga, Spain",,13.023,13.2,59.19545454545454,91.47820711135864,52.88982772827148,1.829564142227173
"11170 Medina-Sidonia, Cádiz, Spain","11595 Torrecera, Cádiz, Spain",,22.206,22.95,58.05490196078431,161.88661003112793,251.9581298828125,3.2377322006225584
"Barcelona, Spain","AD500 Andorra la Vella, Andorra",,197.335,152.73333333333332,77.52138804015713,2390.6342835426326,1854.009399414062,47.81268567085265
"Huelva, Spain","21600 Valverde del Camino, Huelva, Spain",,43.317,36.13333333333333,71.92859778597787,335.59801387786865,283.8133850097656,6.711960277557373
"21600 Valverde del Camino, Huelva, Spain","Huelva, Spain",,42.548,35.25,72.42212765957447,81.05875396728516,287.45166015625,1.6211750793457032
"7100 Estremoz, Portugal","7350 Elvas, Portugal",,42.06,34.333333333333336,73.50291262135921,311.82571411132807,477.2687072753906,6.236514282226562
"34800 Aguilar de Campoo, Palencia, Spain","Palencia, Spain",,97.718,59.516666666666666,98.51156538784656,246.8885498046875,930.9488525390624,4.93777099609375
"08870 Sitges, Barcelona, Spain","Urbanització Rocamar, 08810 Sant Pere de Ribes, Barcelona, Spain",,2.549,5.15,29.697087378640774,20.85213184356689,12.79663562774658,0.4170426368713378
"46340 Requena, Valencia, Spain","46357 El Pontón, Valencia, Spain",,3.642,5.65,38.67610619469027,23.344482421875,705.2890625,0.4668896484375
