name,location,car_age,kilometers_driven,fuel_type,transmission,owner_number,mileage_kmpl,engine_cc,power_bhp,seats,price_lakh,price_euro
Maruti Wagon R LXI CNG,Mumbai,15,72000,CNG,Manual,1,15.64,998,58.16,5,1.75,1788.82
Hyundai Creta 1.6 CRDi SX Option,Pune,10,41000,Diesel,Manual,1,19.67,1582,126.2,5,12.5,12777.27
Honda Jazz V,Chennai,14,46000,Petrol,Manual,1,18.2,1199,88.7,5,8.61,8800.98
Maruti Ertiga VDI,Chennai,13,87000,Diesel,Manual,1,20.77,1248,88.76,7,6.0,6133.09
Audi A4 New 2.0 TDI Multitronic,Coimbatore,12,40670,Diesel,Automatic,2,15.2,1968,140.8,5,17.74,18133.5
Hyundai EON LPG Era Plus Option,Hyderabad,13,75000,LPG,Manual,1,11.61,814,55.2,5,2.35,2402.13
Nissan Micra Diesel XV,Jaipur,12,86999,Diesel,Manual,1,23.08,1461,63.1,5,3.5,3577.63
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,9,36000,Diesel,Automatic,1,11.36,2755,171.5,8,21.0,21465.81
Volkswagen Vento Diesel Comfortline,Pune,12,64430,Diesel,Manual,1,20.54,1598,103.6,5,5.2,5315.34
Tata Indica Vista Quadrajet LS,Chennai,13,65932,Diesel,Manual,2,22.3,1248,74.0,5,1.95,1993.25
Maruti Ciaz Zeta,Kochi,7,25692,Petrol,Manual,1,21.56,1462,103.25,5,10.65,10886.23
Honda City 1.5 V AT Sunroof,Kolkata,13,60000,Petrol,Automatic,1,16.8,1497,116.3,5,4.49,4589.59
Maruti Swift VDI BSIV,Jaipur,10,64424,Diesel,Manual,1,25.2,1248,74.0,5,5.6,5724.22
Land Rover Range Rover 2.2L Pure,Delhi,11,72000,Diesel,Automatic,1,12.7,2179,187.7,5,27.0,27598.9
Mitsubishi Pajero Sport 4X4,Delhi,11,110000,Diesel,Manual,1,13.5,2477,175.56,7,32.01,32720.02
Honda Amaze S i-Dtech,Kochi,9,58950,Diesel,Manual,1,25.8,1498,98.6,5,5.4,5519.78
Maruti Swift DDiS VDI,Jaipur,8,25000,Diesel,Manual,1,28.4,1248,74.0,5,5.99,6122.87
Renault Duster 85PS Diesel RxL Plus,Kochi,11,77469,Diesel,Manual,1,20.45,1461,83.8,5,6.34,6480.63
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,11,78500,Diesel,Automatic,1,14.84,2143,167.62,5,28.0,28621.08
BMW 3 Series 320d,Kochi,11,32982,Diesel,Automatic,1,22.69,1995,190.0,5,47.87,48931.82
Maruti S Cross DDiS 200 Alpha,Bangalore,10,55392,Diesel,Manual,2,23.65,1248,88.5,5,8.25,8433.0
Audi A6 2011-2015 35 TFSI Technology,Mumbai,10,55985,Petrol,Automatic,1,13.53,1984,177.01,5,23.5,24021.26
Hyundai i20 1.2 Magna,Kolkata,15,45807,Petrol,Manual,1,18.5,1197,80.0,5,1.87,1911.48
Volkswagen Vento Petrol Highline AT,Kolkata,15,33000,Petrol,Automatic,1,14.4,1598,103.6,5,2.85,2913.22
Honda City Corporate Edition,Mumbai,13,51920,Petrol,Manual,1,16.8,1497,116.3,5,4.25,4344.27
Nissan Micra Diesel XV,Hyderabad,13,54000,Diesel,Manual,1,23.08,1461,63.1,5,4.25,4344.27
Maruti Alto K10 2010-2014 VXI,Hyderabad,12,54000,Petrol,Manual,2,20.92,998,67.1,5,2.75,2811.0
Honda WRV i-VTEC VX,Kochi,7,37430,Petrol,Manual,1,17.5,1199,88.7,5,10.57,10804.46
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,18,262000,Diesel,Manual,4,12.8,2494,102.0,7,4.0,4088.73
Renault Duster 110PS Diesel RxZ Pack,Bangalore,12,62000,Diesel,Manual,1,19.01,1461,108.45,5,7.75,7921.91
Toyota Corolla Altis G,Delhi,13,87615,Petrol,Manual,1,14.53,1798,138.1,5,6.75,6899.72
Mahindra Ssangyong Rexton RX7,Bangalore,12,72000,Diesel,Automatic,2,11.18,2696,184.0,7,12.5,12777.27
Audi A6 2.7 TDI,Kolkata,15,35000,Diesel,Automatic,1,12.4,2698,179.5,5,11.5,11755.09
Volkswagen Vento 1.6 Highline,Coimbatore,11,55431,Petrol,Manual,2,16.09,1598,103.5,5,12.33,12603.5
Maruti Wagon R LXI BSIII,Jaipur,16,83816,Petrol,Manual,2,14.0,1061,64.0,5,1.85,1891.04
Maruti Vitara Brezza ZDi Plus,Kochi,7,50075,Diesel,Manual,1,24.3,1248,88.5,5,11.12,11366.66
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,8,52000,Petrol,Manual,1,18.15,1198,82.0,5,4.85,4957.58
Mercedes-Benz M-Class ML 350 CDI,Pune,12,85000,Diesel,Automatic,1,11.74,2987,254.8,5,28.0,28621.08
Volkswagen Polo Diesel Trendline 1.2L,Chennai,12,62000,Diesel,Manual,1,22.07,1199,73.9,5,5.0,5110.91
Maruti Alto LXi,Delhi,17,90000,Petrol,Manual,2,19.7,796,46.3,5,1.25,1277.73
Tata Nano LX SE,Kochi,11,19698,Petrol,Manual,1,25.4,624,37.5,4,1.53,1563.94
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8,22033,Diesel,Manual,1,25.32,1198,77.0,6,5.58,5703.77
Hyundai i20 Magna Optional 1.2,Kochi,11,35487,Petrol,Manual,1,18.5,1197,82.9,5,4.74,4845.14
Hyundai Elantra 2.0 SX Option AT,Bangalore,11,46374,Petrol,Automatic,1,14.62,1999,149.92,5,23.64,24164.37
Toyota Corolla Altis G AT,Mumbai,9,52001,Petrol,Automatic,1,14.28,1798,138.03,5,10.11,10334.25
Hyundai Elantra CRDi,Ahmedabad,17,58005,Diesel,Manual,2,14.9,1991,112.2,5,4.25,4344.27
Toyota Innova Crysta 2.7 GX MT,Bangalore,13,70704,Petrol,Manual,1,11.25,2694,163.7,7,18.64,19053.46
Hyundai Xcent 1.1 CRDi S,Jaipur,11,75000,Diesel,Manual,1,24.4,1120,71.0,5,3.85,3935.4
Mahindra Thar CRDe AC,Jaipur,13,75800,Diesel,Manual,2,16.55,2498,105.0,6,5.5,5622.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,10,13648,Diesel,Automatic,1,17.11,1968,174.33,5,21.43,21905.35
Maruti Swift LDI,Delhi,11,52000,Diesel,Manual,1,22.9,1248,74.0,5,4.25,4344.27
Maruti Swift Ldi BSIV,Kolkata,11,53000,Diesel,Manual,1,17.8,1248,75.0,5,3.3,3373.2
Maruti Swift VDI,Delhi,12,65650,Diesel,Manual,1,28.4,1248,74.0,5,3.85,3935.4
Hyundai Grand i10 Sportz,Chennai,10,54000,Petrol,Manual,3,18.9,1197,82.0,5,3.6,3679.85
